"QSI_TOWER","STRUCTURE","X","Y","Z1","Z2","H","LATITUDE","LONGITUDE","STR_GEOTAG","STR_TYPE"
"1","IGNACIO_SUB","6406425.521","1790005.661","8.323","61.45","53.13","38.07613117","-122.53924996","W12253924N3807613","Dead End"
"2","000/003","6406682.963","1790069.633","47.312","138.12","90.81","38.07631102","-122.53835704","W12253835N3807631","Dead End"
"3","000/004","6407615.174","1790039.793","4.44","87.63","83.19","38.0762442","-122.53511834","W12253511N3807624","Tangent"
"4","000/005","6408415.004","1790014.625","4.063","86.58","82.52","38.07618799","-122.53233958","W12253233N3807618","Tangent"
"5","000/006","6409234.955","1789987.979","3.932","87.7","83.77","38.07612798","-122.5294909","W12252949N3807612","Dead End"
"6","000/007","6409782.755","1790420.73","3.992","87.57","83.58","38.07732497","-122.52759682","W12252759N3807732","Tangent"
"7","000/008","6410361.203","1790877.013","-0.211","136.06","136.27","38.07858702","-122.52559668","W12252559N3807858","Dead End"
"8","000/009","6410939.392","1791333.766","5.332","141.86","136.53","38.07985032","-122.52359739","W12252359N3807985","Dead End"
"9","001/010","6411519.147","1791790.53","5.244","84.25","79.01","38.08111365","-122.52159258","W12252159N3808111","Tangent"
"10","001/011","6412296.734","1791913.718","1.271","85.5","84.23","38.08146411","-122.51889385","W12251889N3808146","Tangent"
"11","001/012","6413131.54","1792044.405","1.404","96.03","94.63","38.081836","-122.51599647","W12251599N3808183","Tangent"
"12","001/013","6414048.413","1792188.928","1.337","95.34","94.0","38.08224708","-122.51281424","W12251281N3808224","Tangent"
"13","001/014","6414889.964","1792321.932","1.392","85.96","84.57","38.08262528","-122.50989341","W12250989N3808262","Tangent"
"14","001/015","6415680.393","1792445.17","7.246","83.01","75.76","38.08297581","-122.50714996","W12250714N3808297","Tangent"
"15","002/016","6416170.779","1792771.078","-1.075","143.24","144.31","38.08387818","-122.50545271","W12250545N3808387","Dead End"
"16","002/017","6416827.725","1793206.165","-2.347","84.61","86.96","38.08508284","-122.5031789","W12250317N3808508","Tangent"
"17","002/018","6417490.284","1793645.286","-2.384","84.22","86.6","38.08629862","-122.50088558","W12250088N3808629","Tangent"
"18","002/019","6418135.112","1794074.169","-2.416","85.47","87.89","38.08748598","-122.4986536","W12249865N3808748","Dead End"
