sec_no,cable_file_name,from_str,to_str,best_match,arc_wire_type,arc_from_str,arc_to_str
1,3-o_kcmil_7_mhd_copper-light.wir,1,2,0.0,,,
2,3-o_kcmil_7_mhd_copper-light.wir,2,5,0.0,,,
3,3-o_kcmil_7_mhd_copper-light.wir,5,7,0.0,,,
4,3-o_kcmil_7_mhd_copper-light.wir,7,8,0.0,,,
5,3-o_kcmil_7_mhd_copper-light.wir,8,15,0.3333333333333333,CU 3/0 7,000/008,010/076
6,3-o_kcmil_7_mhd_copper-light.wir,15,18,0.0,,,
7,3-o_kcmil_7_mhd_copper-light.wir,18,21,0.0,,,
8,3-o_kcmil_7_mhd_copper-light.wir,21,26,0.0,,,
9,3-o_kcmil_7_mhd_copper-light.wir,26,29,0.0,,,
10,3-o_kcmil_7_mhd_copper-light.wir,29,30,0.0,,,
11,3-o_kcmil_7_mhd_copper-light.wir,30,44,0.0,,,
12,3-o_kcmil_7_mhd_copper-light.wir,44,51,0.0,,,
13,3-o_kcmil_7_mhd_copper-light.wir,51,54,0.0,,,
14,3-o_kcmil_7_mhd_copper-light.wir,54,55,0.3333333333333333,CU 3/0 7,020/145,B017/122
15,3-o_kcmil_7_mhd_copper-light.wir,55,60,0.0,,,
16,3-o_kcmil_7_mhd_copper-light.wir,60,65,0.4,CU 3/0 7,010/076,014/104
17,3-o_kcmil_7_mhd_copper-light.wir,65,68,0.0,,,
18,3-o_kcmil_7_mhd_copper-light.wir,68,75,0.0,,,
19,3-o_kcmil_7_mhd_copper-light.wir,75,90,0.0,,,
20,3-o_kcmil_7_mhd_copper-light.wir,90,91,0.0,,,
21,3-o_kcmil_7_mhd_copper-light.wir,91,94,0.0,,,
22,3-o_kcmil_7_mhd_copper-light.wir,94,103,0.0,,,
23,397.5_kcmil_26-7_acsr_ibis-light.wir,103,107,0.5,ACSR 4/0 6/1,034/241,034/244
24,3-o_kcmil_7_mhd_copper-light.wir,107,109,0.6,AAC 4/0 7,017/122,HIGHWAY
25,3-o_kcmil_7_mhd_copper-light.wir,109,117,0.5,CU 250 19,028/198,A034/241B
26,3-o_kcmil_7_mhd_copper-light.wir,117,121,0.0,,,
27,4_o_awg_7_aac_oxlip-light.wir,121,181,0.0,,,
28,397.5_kcmil_26-7_acsr_ibis-light.wir,121,137,0.0,,,
29,397.5_kcmil_26-7_acsr_ibis-light.wir,137,138,0.0,,,
30,397.5_kcmil_26-7_acsr_ibis-light.wir,138,139,0.0,,,
31,397.5_kcmil_26-7_acsr_ibis-light.wir,139,140,0.0,,,
32,397.5_kcmil_26-7_acsr_ibis-light.wir,140,141,0.75,ACSR 397.5 26/7,014/104,015/108
33,397.5_kcmil_26-7_acsr_ibis-light.wir,141,144,0.0,,,
